pose-0	FALSE
pose-1	AC
pose-2	AC
pose-3	AC
pose-4	AC
pose-5	ALL
pose-6	ALL
pose-7	ALL
pose-8	ALL
pose-9	ALL
pose-10	ALL
pose-11	ASL
pose-12	ASL
pose-13	ASL
pose-14	ASL
pose-15	ASL
pose-16	ASL
pose-17	BACK
pose-18	BACK
pose-19	BACK
pose-20	BACK
pose-21	BBQ
pose-22	BBQ
pose-23	BUS
pose-24	BUS
pose-25	BUS
pose-26	BUS
pose-27	CC
pose-28	CC
pose-29	CLUB
pose-30	CLUB
pose-31	CO
pose-32	CO
pose-33	CO
pose-34	CO
pose-35	CP
pose-36	CP
pose-37	CP
pose-38	DO WHAT
pose-39	DOG
pose-40	DOG
pose-41	DOG
pose-42	DOG
pose-43	DOG
pose-44	DOG
pose-45	EARLY
pose-46	EARLY
pose-47	EARLY
pose-48	EARLY
pose-49	ED
pose-50	ED
pose-51	ED
pose-52	ED
pose-53	FF
pose-54	FF
pose-55	FF
pose-56	FF
pose-57	FF
pose-58	FF
pose-59	FIX
pose-60	FIX
pose-61	FIX
pose-62	HA HA
pose-63	HA HA
pose-64	HR
pose-65	HR
pose-66	HR
pose-67	HR
pose-68	IF
pose-69	IF
pose-70	IF
pose-71	IF
pose-72	JOB
pose-73	JOB
pose-74	JOB
pose-75	JOB
pose-76	JOB
pose-77	LAB
pose-78	LAB
pose-79	MW
pose-80	NO
pose-81	NO
pose-82	NO
pose-83	OD
pose-84	OD
pose-85	OFF
pose-86	OFF
pose-87	OK
pose-88	OK
pose-89	OR
pose-90	OR
pose-91	PE
pose-92	PE
pose-93	PE
pose-94	PIZZA
pose-95	PO
pose-96	PO
pose-97	REF
pose-98	REF
pose-99	RR
pose-100	RR
pose-101	RR
pose-102	SS
pose-103	SS
pose-104	TTY
pose-105	TTY
pose-106	TV
pose-107	TV
pose-108	WHAT
pose-109	WHAT
pose-110	WILL
pose-111	WILL
pose-112	WOW
pose-113	WOW
pose-114	YES
pose-115	YES
pose-116	YES
pose-117	CARROT
pose-118	CHEAT
pose-119	CORNER
pose-120	CORNER
pose-121	CORNER
pose-122	E MAIL
pose-123	FAR
pose-124	FAR
pose-125	FINGERPRINTS
pose-126	GO STEADY
pose-127	HUMBLE
pose-128	MINOR
pose-129	SNOB
pose-130	TEMPERATURE PITCH
pose-131	TEMPERATURE PITCH
pose-132	TEMPERATURE PITCH
pose-133	THROW
pose-134	THROW
pose-135	THROW
pose-136	TORNADO
pose-137	TORNADO
pose-138	TRACE HEART
pose-139	TRACE HEART
pose-140	TRACE HEART
pose-141	TRAVEL
pose-142	TRAVEL
pose-143	WATER OCEAN
pose-144	WHO
pose-145	WHO
pose-146	HOSPITAL
pose-147	ED
pose-148	GO
pose-149	LOW
pose-150	INTERESTING ZERO
pose-151	ABORTION
pose-152	ADMIT
pose-153	ANGRY
pose-154	AREA
pose-155	BAKING SPRINKLES
pose-156	CARELESS
pose-157	CHILDREN
pose-158	CHILDREN
pose-159	CHOKE
pose-160	CHOKE
pose-161	COME
pose-162	COME
pose-163	COME
pose-164	COME
pose-165	COW
pose-166	COW
pose-167	COW
pose-168	DEFLATE
pose-169	DIMPLE
pose-170	DIMPLE
pose-171	DO DO
pose-172	DOORBELL
pose-173	DOORBELL
pose-174	DRIP
pose-175	DRIP
pose-176	DRIP
pose-177	DRIP
pose-178	DRIP
pose-179	DROP
pose-180	EASTER
pose-181	EAT UP
pose-182	EAT UP
pose-183	FALL
pose-184	FEED
pose-185	FINISH
pose-186	FINISH
pose-187	FISH
pose-188	FISH
pose-189	FISH
pose-190	FORCE
pose-191	FORCE
pose-192	FRACTION
pose-193	FRECKLES
pose-194	GIFT
pose-195	GIFT
