Gloss Variant,Consultant,Session,Scene,Start,End,id,session_scene,session_scene_id,is_corrupt
False,Tyler,ASL_2008_05_29a,18,560,585,0,ASL_2008_05_29a-18,455,0
#AC,Brady,ASL_2011_07_22_Brady,37,332,353,1,ASL_2011_07_22_Brady-37,928,0
#AC,Liz,ASL_2008_01_11,4,3285,3325,2,ASL_2008_01_11-4,76,0
#AC,Naomi,ASL_2008_08_04,3,2382,2400,3,ASL_2008_08_04-3,560,0
#AC,Tyler,ASL_2008_05_12a,3,1995,2035,4,ASL_2008_05_12a-3,400,0
#ALL,Brady,ASL_2011_06_08_Brady,10,7838,7857,5,ASL_2011_06_08_Brady-10,719,0
#ALL,Dana,ASL_2007_05_24,5,450,488,6,ASL_2007_05_24-5,41,0
#ALL,Liz,ASL_2008_01_11,12,275,300,7,ASL_2008_01_11-12,47,0
#ALL,Naomi,ASL_2008_08_04,8,2922,2942,8,ASL_2008_08_04-8,588,0
#ALL,Tyler,ASL_2008_05_12a,9,2542,2570,9,ASL_2008_05_12a-9,426,0
#ALL_2,Lana,ASL_2006_10_10,2,396,416,10,ASL_2006_10_10-2,11,0
#ASL,Brady,ASL_2011_06_08_Brady,11,6136,6160,11,ASL_2011_06_08_Brady-11,720,0
#ASL,Brady,ASL_2011_06_08_Brady,13,7966,7985,12,ASL_2011_06_08_Brady-13,722,0
#ASL,Liz,ASL_2008_01_11,23,680,705,13,ASL_2008_01_11-23,58,0
#ASL,Naomi,ASL_2008_08_04,15,2411,2430,14,ASL_2008_08_04-15,544,0
#ASL,Tyler,ASL_2008_05_12a,10,2952,3000,15,ASL_2008_05_12a-10,379,0
#ASL,Tyler,ASL_2008_05_12a,15,2631,2666,16,ASL_2008_05_12a-15,384,0
#BACK,Brady,ASL_2011_06_08_Brady,15,1218,1246,17,ASL_2011_06_08_Brady-15,724,0
#BACK,Liz,ASL_2008_01_11,28,1136,1171,18,ASL_2008_01_11-28,63,0
#BACK,Tyler,ASL_2008_05_12a,18,3935,3952,19,ASL_2008_05_12a-18,387,0
#BACK_2,Naomi,ASL_2008_08_04,18,2723,2735,20,ASL_2008_08_04-18,547,0
#BBQ,Brady,ASL_2011_06_08_Brady,16,6535,6556,21,ASL_2011_06_08_Brady-16,725,0
#BBQ,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,24,1140,1188,22,ASL_2010_08_10_Liz_additional_lexicon_signs-24,704,0
#BUS,Brady,ASL_2011_06_08_Brady,24,7710,7725,23,ASL_2011_06_08_Brady-24,732,0
#BUS,Liz,ASL_2008_01_11,59,1370,1418,24,ASL_2008_01_11-59,97,0
#BUS,Naomi,ASL_2008_08_04,38,252,268,25,ASL_2008_08_04-38,569,0
#BUS,Tyler,ASL_2008_05_12a,37,281,305,26,ASL_2008_05_12a-37,408,0
#CC,Brady,ASL_2011_06_08_Brady,26,2832,2848,27,ASL_2011_06_08_Brady-26,734,0
#CC,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,9,1060,1096,28,ASL_2010_08_10_Liz_additional_lexicon_signs-9,718,0
#CLUB,Dana,ASL_2007_05_24,5,809,842,29,ASL_2007_05_24-5,41,0
#CLUB,Lana,ASL_2006_10_10,2,660,680,30,ASL_2006_10_10-2,11,0
#CO,Brady,ASL_2011_06_08_Brady,24,10973,10981,31,ASL_2011_06_08_Brady-24,732,0
#CO,Liz,ASL_2008_01_11,61,486,514,32,ASL_2008_01_11-61,100,0
#CO,Naomi,ASL_2008_08_04,38,2375,2388,33,ASL_2008_08_04-38,569,0
#CO,Tyler,ASL_2008_05_12a,37,2290,2310,34,ASL_2008_05_12a-37,408,0
#CP,Brady,ASL_2011_06_08_Brady,24,11178,11192,35,ASL_2011_06_08_Brady-24,732,0
#CP,Liz,ASL_2008_01_11,61,690,725,36,ASL_2008_01_11-61,100,0
#CP,Naomi,ASL_2008_08_04,39,408,422,37,ASL_2008_08_04-39,570,0
"#DO++""WHAT""",Liz,ASL_2008_03_28,39,1497,1532,38,ASL_2008_03_28-39,362,0
#DOG+,Brady,ASL_2011_06_08_Brady,37,830,851,39,ASL_2011_06_08_Brady-37,745,0
#DOG+,Lana,ASL_2006_10_10,7,640,662,40,ASL_2006_10_10-7,21,0
#DOG+,Naomi,ASL_2008_08_06,21,1707,1730,41,ASL_2008_08_06-21,603,0
